anio;id;codigo_iccs;tipo;estado_civil;estatus_migratorio;edad;sexo;genero;Nacionalidad;autoidentificacion_etnica;numero_detenciones;nivel_de_instruccion;condicion;movilizacion;tipo_arma;arma;fecha_detencion_aprehension;hora_detencion_aprehension;lugar;tipo_lugar;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_subzona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;presunta_flagrancia;presunta_infraccion;presunta_subinfraccion;presunta_modalidad
2024;3450;20721.02;APREHENDIDO;CASADO/A;SIN DATO;47;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;ALIENTO A LICOR;SIN DATO;NINGUNA;NINGUNA;1/7/2024;1:45;VIA PUBLICA;AREAS DE ACCESO PUBLICO;05D04;05D04C09;05D04C09S01;ZONA 3;COTOPAXI;DANSANTE;PUJILI;PUJILI 1;5;504;50450;COTOPAXI;PUJILI;PUJILI;SI;CONTRAVENCIONES DE TRANSITO;CONDUCCION DE VEHICULO EN ESTADO DE EMBRIAGUEZ;DE 0.8 A 1.2 GRAMOS
2024;3451;4011;APREHENDIDO;SIN DATO;NO APLICA;31;HOMBRE;MASCULINO;COLOMBIANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);CUCHILLO;18-01-24;0:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;16D01;16D01C02;16D01C02S01;ZONA 3;PASTAZA;PASTAZA;PUYO NORTE;PUYO NORTE 1;16;1601;160150;PASTAZA;PASTAZA;PUYO;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
2024;3452;60124.01;APREHENDIDO;SOLTERO/A;SIN DATO;22;MUJER;FEMENINO;ECUATORIANO;SIN DATO;0;SIN DATO;SIN DATO;AUTOMOVIL;NINGUNA;NINGUNA;1/5/2024;3:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;17D10;17D10C08;17D10C08S02;ZONA 2;PICHINCHA;CAYAMBE;MALCHINGUI;MALCHINGUI 2;17;1704;170453;PICHINCHA;PEDRO MONCAYO;TOCACHI;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;3453;0;DETENIDO;DIVORCIADO/A;NO APLICA;30;HOMBRE;MASCULINO;ECUATORIANO;NEGRO/A;0;BACHILLERATO;NORMAL;A PIE;NINGUNA;NINGUNA;31-01-24;19:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;01D01;01D01C05;01D01C05S01;ZONA 6;AZUAY;CUENCA NORTE;EL VECINO;EL VECINO 1;1;101;10150;AZUAY;CUENCA;CUENCA;NO;BOLETAS;BOLETA DE APREMIO;SIN DATO
2024;3454;20190.01;APREHENDIDO;SOLTERO/A;NO APLICA;40;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;EDUCACION INICIAL;NORMAL;A PIE;NINGUNA;NINGUNA;15-01-24;22:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;08D05;08D05C01;08D05C01S03;ZONA 1;ESMERALDAS;SAN LORENZO;FRONTERA;FRONTERA 3;8;805;80550;ESMERALDAS;SAN LORENZO;SAN LORENZO;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;ATAQUE O RESISTENCIA;SIN DATO
2024;3455;2089.02;APREHENDIDO;SOLTERO/A;SIN DATO;43;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/2/2024;10:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;09D08;09D08C01;09D08C01S03;ZONA 8;DMG;NUEVA PROSPERINA;NUEVA PROSPERINA;NUEVA PROSPERINA 3;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;DELITOS DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;VIOLENCIA PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;SIN DATO
2024;3456;110900.06;APREHENDIDO;SOLTERO/A;SIN DATO;28;MUJER;FEMENINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;22-01-24;10:15;VIA PUBLICA;AREAS DE ACCESO PUBLICO;09D08;09D08C03;09D08C03S01;ZONA 8;DMG;NUEVA PROSPERINA;PARAISO LA FLOR;PARAISO LA FLOR 1;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;CONTRAVENCIONES;CONTRAVENCIONES DE CUARTA CLASE;LA PERSONA QUE VOLUNTARIAMENTE HIERA O GOLPEE A OTRO, CAUSANDOLE LESIONES O INCAPACIDAD PARA EL TRABAJO, QUE NO EXCEDAN DE TRES DIAS.
2024;3457;60124.01;DETENIDO;SOLTERO/A;REGULAR;25;HOMBRE;MASCULINO;ECUATORIANO;NEGRO/A;0;NO APLICA;NORMAL;A PIE;NINGUNA;NINGUNA;1/10/2024;20:30;CASA/VILLA;VIVIENDA/ALOJAMIENTO;18D02;18D02C03;18D02C03S01;ZONA 3;TUNGURAHUA;AMBATO SUR;SAN ANTONIO;SAN ANTONIO 1;18;1801;180150;TUNGURAHUA;AMBATO;AMBATO;NO;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;3458;50290.01;APREHENDIDO;SOLTERO/A;SIN DATO;17;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;SIN DATO;NORMAL;SIN DATO;NINGUNA;NINGUNA;1/4/2024;19:20;VIA PUBLICA;AREAS DE ACCESO PUBLICO;10D01;10D01C14;10D01C14S01;ZONA 1;IMBABURA;CIUDAD BLANCA;AMBUQUI;AMBUQUI 1;10;1001;100151;IMBABURA;IBARRA;AMBUQUI;SI;CONTRAVENCIONES CONTRA EL DERECHO DE PROPIEDAD;CONTRAVENCION DE HURTO;SIN DATO
2024;3459;0;DETENIDO;SOLTERO/A;REGULAR;27;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;BACHILLERATO;NORMAL;AUTOMOVIL;NINGUNA;NINGUNA;24-01-24;13:50;VIA PUBLICA;AREAS DE ACCESO PUBLICO;07D02;07D02C01;07D02C01S01;ZONA 7;EL ORO;MACHALA;9 DE MAYO;9 DE MAYO 1;7;701;70150;EL ORO;MACHALA;MACHALA;NO;BOLETAS;BOLETA DE ENCARCELAMIENTO;SIN DATO
2024;3460;4011;APREHENDIDO;SOLTERO/A;SIN DATO;34;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;NORMAL;A PIE;NINGUNA;NINGUNA;18-01-24;22:30;CASA/VILLA;VIVIENDA/ALOJAMIENTO;17D03;17D03C18;17D03C18S02;ZONA 9;DMQ;LA DELICIA;LA BOTA;LA BOTA 2;17;1701;170150;PICHINCHA;QUITO;QUITO;SI;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
2024;3461;90610.02;APREHENDIDO;SOLTERO/A;SIN DATO;19;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;SIN DATO;SIN DATO;SIN DATO;NINGUNA;NINGUNA;18-01-24;22:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;08D04;08D04C03;08D04C03S01;ZONA 1;ESMERALDAS;QUININDE;QUININDE;QUININDE 1;8;804;80450;ESMERALDAS;QUININDE;ROSA ZARATE (QUININDE);SI;TERRORISMO Y SU FINANCIACION;TERRORISMO;SIN DATO
2024;3462;20190.01;APREHENDIDO;SOLTERO/A;NO APLICA;40;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;SIN DATO;ALIENTO A LICOR;A PIE;NINGUNA;NINGUNA;14-01-24;11:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;09D13;09D13C04;09D13C04S01;ZONA 5;GUAYAS;BALZAR;BALZAR CENTRO;BALZAR CENTRO 1;9;904;90450;GUAYAS;BALZAR;BALZAR;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;ATAQUE O RESISTENCIA;SIN DATO
2024;3463;20190.01;APREHENDIDO;SOLTERO/A;NO APLICA;29;HOMBRE;MASCULINO;ECUATORIANO;SIN DATO;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/6/2024;22:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;06D01;06D01C15;06D01C15S01;ZONA 3;CHIMBORAZO;RIOBAMBA;24 DE MAYO;24 DE MAYO 1;6;601;60155;CHIMBORAZO;RIOBAMBA;LICAN;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;ATAQUE O RESISTENCIA;SIN DATO
2024;3464;20190.01;APREHENDIDO;SOLTERO/A;NO APLICA;28;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;BACHILLERATO;NORMAL;A PIE;NINGUNA;NINGUNA;15-01-24;22:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;08D05;08D05C01;08D05C01S03;ZONA 1;ESMERALDAS;SAN LORENZO;FRONTERA;FRONTERA 3;8;805;80550;ESMERALDAS;SAN LORENZO;SAN LORENZO;SI;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;ATAQUE O RESISTENCIA;SIN DATO
